"AIRPORT_ID","AIRPORT","DISPLAY_AIRPORT_NAME","DISPLAY_AIRPORT_CITY_NAME_FULL","AIRPORT_STATE_CODE","AIRPORT_STATE_FIPS",
11911,"GHC","Great Harbour Cay Airport","Great Harbour Cay, The Bahamas","","",
11911,"GHC","Great Harbour Cay Airport","Great Harbour Cay, The Bahamas","","",
11912,"GHT","Ghat Airport","Ghat, Libya","","",
11912,"GHT","Ghat Airport","Ghat, Libya","","",
11913,"GHU","Gualeguaychu Airport","Gualeguaychu, Argentina","","",
11913,"GHU","Gualeguaychu Airport","Gualeguaychu, Argentina","","",
11914,"GIB","Gibraltar Airport","Gibraltar, Gibraltar","","",
11914,"GIB","Gibraltar Airport","Gibraltar, Gibraltar","","",
11915,"GIG","Galeao-Antonio Carlos Jobim","Rio de Janeiro, Brazil","","",
11915,"GIG","Galeao Antonio Carlos Jobim International","Rio de Janeiro, Brazil","","",
11916,"GIL","Gilgit Airport","Gilgit, Pakistan","","",
11916,"GIL","Gilgit Airport","Gilgit, Pakistan","","",
11917,"GIS","Gisborne Airport","Gisborne, New Zealand","","",
11917,"GIS","Gisborne Airport","Gisborne, New Zealand","","",
11918,"GIZ","Gizan Saudia Arabia","Gizan, Saudi Arabia","","",
11919,"GJA","Guanaja","Guanaja Island, Honduras","","",
11919,"GJA","Guanaja","Guanaja Island, Honduras","","",
11919,"GJA","Guanaja","Guanaja Island, Honduras","","",
11920,"GJM","Guajara Mirim","Guajara-Mirim, Brazil","","",
11921,"GJT","Walker Field","Grand Junction, CO","CO","08",
11921,"GJT","Grand Junction Regional","Grand Junction, CO","CO","08",
11922,"GKA","Goroka Airport","Goroka, Papua New Guinea","","",
11922,"GKA","Goroka Airport","Goroka, Papua New Guinea","","",
11923,"GKL","Bonnie Doon","Great Keppel Island, Australia","","",
11924,"GKN","Gulkana Airport","Gulkana, AK","AK","02",
11924,"GKN","Gulkana Airport","Gulkana, AK","AK","02",
11926,"GL1","Station Nord Airport","Station Nord, Greenland","","",
11927,"GL2","Hyde Fjord Ice Strip","Hyde Fjord, Greenland","","",
11928,"GLA","Glasgow Airport","Glasgow, United Kingdom","","",
11928,"GLA","Glasgow Airport","Glasgow, United Kingdom","","",
11928,"GLA","Glasgow Airport","Glasgow, United Kingdom","","",
11929,"GLD","Renner Field","Goodland, KS","KS","20",
11929,"GLD","Renner Field","Goodland, KS","KS","20",
11930,"GLF","Golfito Airport","Golfito, Costa Rica","","",
11930,"GLF","Golfito Airport","Golfito, Costa Rica","","",
11930,"GLF","Golfito Airport","Golfito, Costa Rica","","",
11931,"GLH","Greenville Municipal","Greenville, MS","MS","28",
11931,"GLH","Mid Delta Regional","Greenville, MS","MS","28",
11931,"GLH","Greenville Mid Delta","Greenville, MS","MS","28",
11932,"GLI","Glen Innes Airport","Glen Innes, Australia","","",
